MOLECULE_NAME,y_actual,y_pred
306-097-02,0.81,0.7904962950436194
306-098-02,0.76,0.7274475451332099
306-099-01,2.21,2.2110997812000326
306-099-02,2.91,2.9355904707892426
306-100-01,2.54,2.55868557604865
306-100-02,3.31,3.3097719422657343
306-101-01,2.65,2.650543253867369
306-101-02,3.38,3.398656953658328
306-102-02,1.7,1.7264903077157667
306-103-02,1.77,1.7624800332816122
306-104-02,1.61,1.6867010342942637
306-105-02,1.61,1.6125226197397327
306-106-02,2.0,2.0354344914606086
306-107-02,2.52,2.5018365274553993
306-108-02,2.3,2.276089202006507
306-109-02,0.54,1.7400838181174696
306-110-02,1.99,2.0090375866205834
306-112-02,1.76,1.7318389484670216
306-113-02,1.66,1.6447627776787388
306-114-05,1.46,1.6482133358894901
306-115-03,3.61,3.6482004638902152
306-116-03,2.91,2.912126457400612
306-118-02,1.58,1.5659931037161559
306-119-03,1.76,1.7844074741455456
306-121-01,2.81,2.7763545913000574
306-122-01,2.53,2.4914084787141926
306-123-03,4.45,4.4478593171679135
306-124-05,3.26,3.243488284220905
306-127-01,2.78,2.788786686863209
306-128-01,2.74,2.7147147737931023
306-129-02,1.98,2.0097601762012824
306-130-02,1.46,1.5659931037161559
306-132-01,1.92,1.9371848532094502
306-135-01,2.29,2.323501711602722
306-136-01,3.1,3.114877145405926
306-137-01,3.12,3.127182177492218
306-138-01,3.06,3.0407578656413623
306-139-03,2.74,2.7460636753248835
306-140-01,3.1,3.1163814188309615
306-141-03,2.69,2.198153217356501
306-142-03,2.22,2.2183781619063248
306-143-01,1.99,2.013629114180805
306-144-03,3.17,3.1748095015538222
306-145-01,2.37,2.3772394863445516
306-146-01,3.15,3.177174428662791
306-147-01,3.34,3.348631857822543
306-148-01,3.72,3.720558924392888
306-149-01,3.83,3.85015431826567
306-150-01,2.87,2.9125748987528537
306-151-01,3.23,3.2435121589622513
306-152-01,2.65,2.6839044697516155
306-153-02,2.34,2.3533244641711137
306-154-01,2.76,1.9053890012318648
306-155-01,2.5,2.4998611470166194
306-157-01,4.43,4.416572167598562
306-158-01,3.08,2.8425092015131908
306-159-01,3.58,3.355178737328379
306-160-01,2.82,2.8454118026263924
306-161-01,3.48,3.3970551685168022
306-162-01,3.06,3.066170689489117
306-163-01,3.03,3.024851366655413
306-164-01,3.06,3.072974949027308
306-165-01,3.55,3.5389390511738266
306-166-01,2.45,2.4634008460007544
306-166-02,1.94,1.9470371198820757
306-166-03,2.9,2.8866266422059432
306-167-01,2.63,3.0425252641865983
306-168-02,1.07,1.9573197228552366
306-169-01,2.79,2.763960604108419
306-171-04,3.57,3.5518568103554866
306-172-01,1.61,1.5943013778602624
306-175-01,1.81,1.7937475868500798
306-176-01,1.77,1.7916237610841153
306-177-01,3.32,3.0240865004647883
306-178-01,1.69,1.6956553282644178
306-179-01,1.92,1.908925979610706
306-180-02,1.5,1.496032278787617
306-181-01,3.35,3.2474004537524053
306-182-01,1.92,1.9053890012318648
306-183-01,1.85,2.198153217356501
306-185-01,2.94,2.978392554809687
306-186-01,3.73,3.761220101170984
306-187-01,2.36,2.367628645017442
306-188-01,2.36,2.3779730078753376
306-189-01,2.14,2.1387650920027057
306-190-01,2.36,2.3384089211639885
306-191-01,3.65,3.650327121574779
306-192-02,2.22,2.203102249240187
306-193-04,1.3,1.2919808310972423
306-195-02,1.1,2.270046482341981
306-196-01,2.99,3.0147566877861554
306-197-04,1.36,1.488260517326236
306-198-03,1.4,1.4486816700781628
306-201-03,2.06,2.0614293559999153
306-202-02,1.89,1.9104507303353868
306-203-02,2.35,2.3844622963268445
306-204-02,1.54,1.5207051494350434
306-207-01,1.93,1.8998496824140911
306-208-01,2.12,2.133933187511163
306-210-02,4.03,4.007535597880599
306-212-03,2.75,2.7141103851464052
306-214-01,1.91,2.3233316767174252
306-215-01,2.11,2.2793402182213924
306-218-01,2.1,2.110295505202191
306-219-01,3.49,3.4750954594731773
